Id	Date	Time	Transaction Type	Format
o32975183	9/17/2020	12:36	EndNote - Download / Install	In Person
o32974223	9/17/2020	12:01	Computer Headcount	Computer Headcount
o32973705	9/17/2020	11:42	Office Supplies	In Person
o32972783	9/17/2020	11:03	Computer Headcount	Computer Headcount
o32971830	9/17/2020	10:16	Computer Headcount	Computer Headcount
o32971728	9/17/2020	10:10	General Information	In Person
o32971142	9/17/2020	9:26	Hours / Access Policy	In Person
o32970927	9/17/2020	9:04	Computer Headcount	Computer Headcount
o32968550	9/16/2020	19:23	Computer Login / Policy / Use	LibAnswers System
o32968353	9/16/2020	19:08	Computer Login / Policy / Use	LibAnswers System
o32962101	9/16/2020	15:00	General Information	LibAnswers System
o32960783	9/16/2020	14:14	Computer Headcount	Computer Headcount
o32958717	9/16/2020	13:02	Computer Headcount	Computer Headcount
o32958214	9/16/2020	12:44	Technical Support	In Person
o32958118	9/16/2020	12:40	Office Supplies	In Person
o32957584	9/16/2020	12:18	Borrow Laptop / Device	Telephone
o32957457	9/16/2020	12:13	Directional - Library	In Person
o32957128	9/16/2020	12:01	Computer Headcount	Computer Headcount
o32956563	9/16/2020	11:41	Printing	In Person
o32955644	9/16/2020	11:03	Computer Headcount	Computer Headcount
o32954823	9/16/2020	10:32	General Information	In Person
o32954372	9/16/2020	10:08	Computer Headcount	Computer Headcount
o32954029	9/16/2020	9:47	Hours / Access Policy	Telephone
o32953774	9/16/2020	9:31	Computer Headcount	Computer Headcount
o32951065	9/15/2020	19:35	Directional - Library	In Person
o32951010	9/15/2020	19:31	Computer Login / Policy / Use	In Person
o32951014	9/15/2020	19:31	Technical Support	In Person
o32950679	9/15/2020	19:08	Computer Headcount	Computer Headcount
o32950608	9/15/2020	19:04	Printing	In Person
o32950035	9/15/2020	18:27	Computer Login / Policy / Use	Voicemail
o32949913	9/15/2020	18:20	General Information	Voicemail
o32949889	9/15/2020	18:18	Borrowing Books	Voicemail
o32949752	9/15/2020	18:12	General Information	Voicemail
o32949718	9/15/2020	18:09	General Information	Voicemail
o32949629	9/15/2020	18:07	Technical Support	Voicemail
o32949835	9/15/2020	18:00	Computer Headcount	Computer Headcount
o32948792	9/15/2020	17:37	Computer Login / Policy / Use	In Person
o32948788	9/15/2020	17:36	Printing	In Person
o32948513	9/15/2020	17:23	Computer Headcount	Computer Headcount
o32948179	9/15/2020	17:08	Hours / Access Policy	Telephone
o32946584	9/15/2020	16:11	Hours / Access Policy	LibAnswers System
o32945855	9/15/2020	15:47	Printing	LibAnswers System
o32944652	9/15/2020	15:08	General Information	Telephone
o32944653	9/15/2020	15:08	General Information	Telephone
o32944239	9/15/2020	14:53	Technical Support	In Person
o32944242	9/15/2020	14:53	Technical Support	In Person
o32944245	9/15/2020	14:53	Technical Support	In Person
o32944026	9/15/2020	14:46	Computer Headcount	Computer Headcount
o32941127	9/15/2020	13:02	EndNote - Download / Install	LibAnswers System
o32940968	9/15/2020	12:56	Technical Support	Telephone
o32939761	9/15/2020	12:09	Office Supplies	In Person
o32939617	9/15/2020	12:01	Computer Headcount	Computer Headcount
o32938975	9/15/2020	11:36	Office Supplies	In Person
o32938936	9/15/2020	11:35	Printing	Telephone
o32938242	9/15/2020	11:03	Computer Headcount	Computer Headcount
o32937867	9/15/2020	10:50	Office Supplies	In Person
o32936944	9/15/2020	10:03	Computer Headcount	Computer Headcount
o32936891	9/15/2020	10:00	General Information	Telephone
o32935967	9/15/2020	9:06	Computer Headcount	Computer Headcount
o32943431	9/14/2020	20:00	Computer Headcount	Computer Headcount
o32933349	9/14/2020	19:28	Scanner	In Person
o32933347	9/14/2020	19:27	Scanner	In Person
o32933291	9/14/2020	19:22	Research - Locate Book / Article	In Person
o32932962	9/14/2020	18:57	Printing	In Person
o32932868	9/14/2020	18:51	Computer Headcount	Computer Headcount
o32932444	9/14/2020	18:28	General Information	In Person
o32932164	9/14/2020	18:16	Directional - Campus	In Person
o32932776	9/14/2020	18:08	Computer Headcount	Computer Headcount
o32931444	9/14/2020	17:52	Wi-Fi	In Person
o32931435	9/14/2020	17:51	Printing	In Person
o32930644	9/14/2020	17:16	Computer Headcount	Computer Headcount
o32930616	9/14/2020	17:15	Research - Locate Book / Article	In Person
o32930583	9/14/2020	17:14	Office Supplies	In Person
o32930587	9/14/2020	17:14	Office Supplies	In Person
o32930593	9/14/2020	17:14	Fax Machine	In Person
o32932873	9/14/2020	17:00	Computer Headcount	Computer Headcount
o32929228	9/14/2020	16:26	Hours / Access Policy	Telephone
o32927963	9/14/2020	16:00	Computer Headcount	Computer Headcount
o32946014	9/14/2020	15:55	Computer Headcount	Computer Headcount
o32927224	9/14/2020	15:05	Computer Headcount	Computer Headcount
o32927659	9/14/2020	15:05	Wi-Fi	Telephone
o32926558	9/14/2020	15:03	Office Supplies	In Person
o32925870	9/14/2020	14:41	General Information	In Person
o32925748	9/14/2020	14:37	Borrowing Books	In Person
